Pv,date
6868,20170303
5328,20170304
5835,20170305
8779,20170306
10222,20170307
8195,20170308
10481,20170309
10286,20170310
7866,20170311
5938,20170312
8963,20170313
8473,20170314
8924,20170315
9460,20170316
8827,20170317
5498,20170318
6211,20170319
9031,20170320
9151,20170321
9521,20170322
9402,20170323
8432,20170324
5867,20170325
5429,20170326
8777,20170327
9553,20170328
9122,20170329
8856,20170330
8193,20170331
6379,20170401
3981,20170402
3941,20170403
5177,20170404
9235,20170405
9970,20170406
8690,20170407
6586,20170408
6509,20170409
10114,20170410
9701,20170411
10644,20170412
10040,20170413
8493,20170414
7177,20170415
8311,20170416
12612,20170417
13695,20170418
15387,20170419
15100,20170420
12654,20170421
8674,20170422
8183,20170423
15533,20170424
16529,20170425
19180,20170426
16763,20170427
12651,20170428
7000,20170429
6942,20170430
7905,20170501
13987,20170502
13642,20170503
13417,20170504
13302,20170505
7798,20170506
8894,20170507
13741,20170508
14404,20170509
13132,20170510
13249,20170511
11593,20170512
7181,20170513
7544,20170514
12338,20170515
11871,20170516
12097,20170517
12396,20170518
11072,20170519
7655,20170520
8116,20170521
15559,20170522
15340,20170523
15725,20170524
14515,20170525
14380,20170526
12422,20170527
7712,20170528
7315,20170529
6871,20170530
14016,20170531
13633,20170601
12105,20170602
8275,20170603
9402,20170604
15811,20170605
14027,20170606
14363,20170607
14697,20170608
13906,20170609
10577,20170610
11180,20170611
15018,20170612
14962,20170613
14980,20170614
15463,20170615
14232,20170616
9639,20170617
9817,20170618
16816,20170619
16077,20170620
15861,20170621
15713,20170622
13872,20170623
10728,20170624
14169,20170625
18386,20170626
17384,20170627
16952,20170628
16831,20170629
14774,20170630
10683,20170701
9602,20170702
14452,20170703
15671,20170704
14117,20170705
15688,20170706
16061,20170707
12223,20170708
10898,20170709
16427,20170710
16269,20170711
14101,20170712
13807,20170713
12018,20170714
8844,20170715
7359,20170716
12063,20170717
12092,20170718
11624,20170719
13159,20170720
15147,20170721
10714,20170722
12222,20170723
17345,20170724
18946,20170725
11850,20170726
11812,20170727
10572,20170728
7072,20170729
7504,20170730
11716,20170731
12138,20170801
11800,20170802
12149,20170803
10308,20170804
7352,20170805
7587,20170806
11636,20170807
12066,20170808
12188,20170809
12747,20170810
12267,20170811
7738,20170812
7358,20170813
12833,20170814
12578,20170815
12594,20170816
13292,20170817
11538,20170818
7686,20170819
10284,20170820
13531,20170821
13698,20170822
13595,20170823
14127,20170824
13619,20170825
10911,20170826
10120,20170827
12916,20170828
13788,20170829
14137,20170830
13780,20170831
12701,20170901
8230,20170902
9469,20170903
14838,20170904
15147,20170905
14543,20170906
15652,20170907
12344,20170908
8083,20170909
8463,20170910
13853,20170911
15049,20170912
15627,20170913
17060,20170914
15121,20170915
10388,20170916
10113,20170917
15635,20170918
16265,20170919
15319,20170920
14373,20170921
13326,20170922
8873,20170923
9673,20170924
16219,20170925
17205,20170926
16231,20170927
15331,20170928
13584,20170929
13493,20170930
5743,20171001
5163,20171002
5234,20171003
3805,20171004
5521,20171005
6525,20171006
7729,20171007
8875,20171008
15057,20171009
16785,20171010
17229,20171011
16286,20171012
15268,20171013
11541,20171014
11830,20171015
16819,20171016
26735,20171017
35009,20171018
26407,20171019
23104,20171020
34756,20171021
22259,20171022
23491,20171023
22336,20171024
20652,20171025
19198,20171026
14115,20171027
10379,20171028
8723,20171029
14351,20171030
14858,20171031
15609,20171101
18022,20171102
15183,20171103
10896,20171104
11895,20171105
22155,20171106
24984,20171107
19092,20171108
17826,20171109
16206,20171110
10879,20171111
11767,20171112
16982,20171113
19241,20171114
18513,20171115
17828,20171116
22151,20171117
18152,20171118
19907,20171119
21594,20171120
26909,20171121
22483,20171122
26404,20171123
24714,20171124
19940,20171125
13359,20171126
21186,20171127
21935,20171128
22365,20171129
23460,20171130
21880,20171201
17018,20171202
14470,20171203
30144,20171204
32320,20171205
27272,20171206
23238,20171207
22552,20171208
15427,20171209
16919,20171210
27325,20171211
25046,20171212
25527,20171213
27087,20171214
24532,20171215
15781,20171216
17751,20171217
26371,20171218
25208,20171219
24032,20171220
23960,20171221
20103,20171222
14543,20171223
13515,20171224
22343,20171225
24042,20171226
22104,20171227
22187,20171228
19496,20171229
20756,20171230
23099,20171231
26824,20180101
30462,20180102
28731,20180103
25911,20180104
24751,20180105
19709,20180106
19588,20180107
19756,20180108
17580,20180109
17478,20180110
20173,20180111
22841,20180112
17298,20180113
18088,20180114
22966,20180115
17337,20180116
16299,20180117
15907,20180118
14048,20180119
11170,20180120
9861,20180121
15786,20180122
20056,20180123
20164,20180124
15147,20180125
11985,20180126
8109,20180127
8323,20180128
12147,20180129
13024,20180130
13078,20180131
13021,20180201
10052,20180202
7359,20180203
7035,20180204
10383,20180205
10686,20180206
10900,20180207
11533,20180208
10892,20180209
5709,20180210
7640,20180211
7265,20180212
5886,20180213
5507,20180214
3558,20180215
3839,20180216
3723,20180217
3919,20180218
4555,20180219
5166,20180220
6545,20180221
11181,20180222
12049,20180223
12414,20180224
9973,20180225
15506,20180226
17188,20180227
22826,20180228
23384,20180301
21144,20180302
15598,20180303
17202,20180304
20158,20180305
20365,20180306
17192,20180307
27645,20180308
17779,20180309
13367,20180310
17222,20180311
29561,20180312
28603,20180313
22446,20180314
19207,20180315
17044,20180316
11251,20180317
12919,20180318
18435,20180319
18117,20180320
16460,20180321
14933,20180322
14181,20180323
10029,20180324
10192,20180325
18694,20180326
18463,20180327
16603,20180328
17718,20180329
14814,20180330
11271,20180331
11497,20180401
17571,20180402
17207,20180403
14110,20180404
8271,20180405
8894,20180406
10256,20180407
17261,20180408
22229,20180409
21916,20180410
22030,20180411
20845,20180412
19317,20180413
13213,20180414
14798,20180415
20315,20180416
19259,20180417
19171,20180418
18971,20180419
16787,20180420
10209,20180421
12369,20180422
21044,20180423
21548,20180424
20509,20180425
20910,20180426
19314,20180427
15879,20180428
8923,20180429
10016,20180430
12552,20180501
19249,20180502
19851,20180503
17859,20180504
12339,20180505
12715,20180506
22298,20180507
21543,20180508
20992,20180509
20473,20180510
25632,20180511
19608,20180512
17087,20180513
24762,20180514
21615,20180515
21384,20180516
22764,20180517
20348,20180518
14566,20180519
14962,20180520
21203,20180521
22062,20180522
21478,20180523
20902,20180524
18609,20180525
12823,20180526
15240,20180527
22739,20180528
23150,20180529
22700,20180530
23230,20180531
23741,20180601
19437,20180602
19361,20180603
25417,20180604
27347,20180605
27238,20180606
27475,20180607
25516,20180608
18403,20180609
20671,20180610
27969,20180611
29178,20180612
27637,20180613
26419,20180614
22588,20180615
13574,20180616
12797,20180617
14035,20180618
25345,20180619
27080,20180620
25279,20180621
23057,20180622
15804,20180623
15781,20180624
27338,20180625
26327,20180626
26071,20180627
26667,20180628
23698,20180629
16750,20180630
21427,20180701
23733,20180702
21215,20180703
29585,20180704
25494,20180705
23061,20180706
17165,20180707
15956,20180708
23776,20180709
25312,20180710
23220,20180711
24834,20180712
23970,20180713
18355,20180714
17194,20180715
24567,20180716
24905,20180717
24678,20180718
25307,20180719
21908,20180720
17360,20180721
17333,20180722
24003,20180723
24108,20180724
23606,20180725
23276,20180726
21040,20180727
16167,20180728
15633,20180729
22349,20180730
22897,20180731
20920,20180801
21590,20180802
20084,20180803
15161,20180804
15231,20180805
19750,20180806
23598,20180807
20632,20180808
21271,20180809
20164,20180810
16374,20180811
16668,20180812
24573,20180813
25865,20180814
26044,20180815
24557,20180816
23405,20180817
18114,20180818
18239,20180819
26267,20180820
28570,20180821
26337,20180822
