word,weight
防控,24.99536670304981
疫情,22.672677272856532
发展,7.177819332318993
新春,5.554547769887388
基层,5.148811515114272
经济,4.502659453449543
回家,3.949151335717377
群众,3.5111535585199958
工作,3.2675111702567596
文化,3.135850094590694
生活,3.076457896224648
社区,3.0742463984127792
创新,3.0657054118325036
总统,3.026644973375928
应收,2.6699674884350597
奋战,2.636206558864073
使命,2.477748851711376
抗疫,2.4769827554930317
科学,2.4432422901272695
武汉,2.404366677216369
合作,2.3489426789547063
打赢,2.289206122418803
驰援,2.255254365996126
凝聚,2.1735057461123075
治理,2.1703639036418605
大使,2.0800049374422875
英雄,2.034035038517997
社会,2.0319848793468847
脱贫,1.9975461123078904
众志成城,1.9431457247503812
战胜,1.8691017909591956
信心,1.8664342804753742
乡村,1.8358478423855216
阻击战,1.8135868097846437
医务人员,1.8088018267688406
精神,1.8045792320265017
战斗,1.769460121411172
城市,1.727152399773305
会见,1.6842899894000896
小康,1.6752736097069287
革命,1.6199393713256192
联控,1.6152470981986173
任免,1.6115505935174141
保障,1.582222765903211
优势,1.5692554174009392
缅甸,1.5659793127687776
病例,1.5356902284593437
春运,1.5349896473449474
生命,1.4799378778328787
攻坚,1.4433287638601289
历史,1.4408851585862252
携手,1.4330505163208402
守护,1.335840749490993
责任,1.2825505002077628
同志,1.2770643638571484
复工,1.2725783164568034
决胜,1.271653492194651
建设,1.2688211306145103
教育,1.255510563710084
赛跑,1.2464218319687559
违纪,1.2425375034086497
医院,1.2404429010847768
防疫,1.235110179234461
干部,1.1897397543761699
确诊,1.1761311606729197
总理,1.1577595651904686
牢记,1.1505528533381064
法治,1.1347865286543322
物资,1.121032592182305
国际,1.1194090082958414
支援,1.1089395149427987
英勇,1.1078912064998656
企业,1.0987153598147081
人类,1.0977568800592494
生态,1.090235794906767
科技,1.088477986515339
能量,1.0838711858829526
新增,1.0804527172453697
科学技术,1.0164889916551907
胜利,1.0163835354403885
澳门,1.0
感动,1.0
能源动力,1.0
互利,0.9549687345565272
一方有难,0.946421831968756
扶贫,0.930260580968982
肺炎,0.9136488900250379
