Pv,date
37511,20170227
38120,20170228
37098,20170301
37482,20170302
37747,20170303
38384,20170304
41729,20170305
38440,20170306
38157,20170307
37256,20170308
39806,20170309
39146,20170310
37555,20170311
38848,20170312
40238,20170313
39941,20170314
41303,20170315
41460,20170316
40452,20170317
40981,20170318
39067,20170319
45786,20170320
43500,20170321
41962,20170322
41447,20170323
40229,20170324
39140,20170325
38662,20170326
40668,20170327
43010,20170328
43753,20170329
42671,20170330
40554,20170331
37466,20170401
36065,20170402
37712,20170403
39363,20170404
43330,20170405
41820,20170406
40014,20170407
38494,20170408
38805,20170409
40994,20170410
40759,20170411
38985,20170412
38471,20170413
36166,20170414
35575,20170415
37014,20170416
38820,20170417
39432,20170418
40478,20170419
42092,20170420
41268,20170421
39077,20170422
37154,20170423
42117,20170424
43118,20170425
42303,20170426
41453,20170427
38069,20170428
34308,20170429
37489,20170430
36914,20170501
44387,20170502
44427,20170503
48028,20170504
41148,20170505
40972,20170506
40619,20170507
42568,20170508
41770,20170509
41242,20170510
42441,20170511
40362,20170512
42577,20170513
39941,20170514
44025,20170515
40325,20170516
41969,20170517
40658,20170518
40604,20170519
40369,20170520
39878,20170521
42168,20170522
42917,20170523
39676,20170524
39604,20170525
39216,20170526
35613,20170527
33581,20170528
34503,20170529
35630,20170530
41741,20170531
38028,20170601
37800,20170602
35035,20170603
35398,20170604
37574,20170605
37592,20170606
37261,20170607
42275,20170608
35110,20170609
35492,20170610
32946,20170611
36387,20170612
35066,20170613
35802,20170614
35781,20170615
34421,20170616
32858,20170617
32283,20170618
37369,20170619
36417,20170620
35959,20170621
35604,20170622
34033,20170623
33907,20170624
33260,20170625
35797,20170626
35299,20170627
34970,20170628
34513,20170629
34670,20170630
32381,20170701
32197,20170702
34242,20170703
34023,20170704
34022,20170705
36290,20170706
33029,20170707
31935,20170708
30262,20170709
33143,20170710
33252,20170711
31564,20170712
32050,20170713
31487,20170714
30778,20170715
29306,20170716
32835,20170717
31984,20170718
32230,20170719
32128,20170720
31222,20170721
28835,20170722
29585,20170723
31977,20170724
32796,20170725
31631,20170726
31470,20170727
32000,20170728
30556,20170729
30433,20170730
32450,20170731
32759,20170801
32813,20170802
39365,20170803
36305,20170804
33086,20170805
33114,20170806
34111,20170807
33772,20170808
32071,20170809
32954,20170810
32551,20170811
32456,20170812
33900,20170813
34576,20170814
32348,20170815
32888,20170816
32104,20170817
31665,20170818
30955,20170819
29447,20170820
33637,20170821
32244,20170822
32827,20170823
32692,20170824
32659,20170825
30944,20170826
29252,20170827
30369,20170828
33142,20170829
32714,20170830
31889,20170831
29787,20170901
29977,20170902
29497,20170903
31054,20170904
31102,20170905
31242,20170906
31167,20170907
33740,20170908
32783,20170909
32525,20170910
35154,20170911
34399,20170912
35641,20170913
35725,20170914
35557,20170915
34685,20170916
36195,20170917
38366,20170918
38655,20170919
38191,20170920
36606,20170921
35513,20170922
35153,20170923
34874,20170924
36473,20170925
37608,20170926
36053,20170927
35846,20170928
33124,20170929
33414,20170930
28646,20171001
28431,20171002
28645,20171003
26310,20171004
28968,20171005
30553,20171006
32236,20171007
32318,20171008
34054,20171009
34636,20171010
34523,20171011
34525,20171012
33369,20171013
32131,20171014
32169,20171015
34804,20171016
35625,20171017
37493,20171018
34073,20171019
36200,20171020
34895,20171021
39001,20171022
40786,20171023
39545,20171024
39336,20171025
38704,20171026
37374,20171027
37256,20171028
37595,20171029
41531,20171030
41570,20171031
42189,20171101
