1.95 	0.25 	27.13 	63.71 	3.33 	1.10 	0.06 	1.47 	0.00 	720	50	140	40	360	40	50	90	190	1 0 0
3.14 	0.15 	13.72 	66.79 	2.67 	10.38 	0.11 	2.05 	0.49 	31910	60	100	40	200	40	40	50	620	1 0 0
2.53 	0.02 	12.57 	72.14 	2.98 	7.93 	0.01 	0.82 	0.00 	580	60	100	60	290	80	50	100	330	1 0 0
2.39 	0.27 	21.88 	68.85 	3.80 	0.83 	0.08 	0.91 	0.00 	860	80	110	30	530	40	50	100	180	1 0 0
2.11 	0.16 	14.21 	73.00 	4.02 	4.42 	0.05 	1.03 	0.52 	26460	60	100	130	330	60	30	70	730	1 0 0
2.19 	0.16 	13.18 	73.06 	3.53 	6.20 	0.02 	0.66 	0.00 	730	60	50	0	420	110	40	90	710	1 0 0
4.75 	0.22 	12.74 	68.31 	2.66 	6.65 	0.04 	3.63 	0.36 	1120	20	70	40	340	160	20	50	530	1 0 0
4.26 	0.29 	11.56 	73.85 	2.44 	5.37 	0.03 	1.19 	0.00 	930	20	90	0	360	150	30	60	490	1 0 0
0.72 	0.59 	22.49 	69.73 	3.23 	0.25 	0.25 	1.72 	0.00 	470	80	70	10	260	50	40	220	220	1 0 0
1.54 	0.52 	13.31 	67.47 	4.31 	6.00 	0.05 	5.79 	0.39 	890	70	60	20	290	90	30	160	630	1 0 0
1.88 	0.21 	14.36 	71.99 	4.61 	4.61 	0.05 	1.28 	0.00 	790	70	50	0	320	100	30	160	480	1 0 0
0.62 	0.39 	23.33 	69.18 	3.88 	0.55 	0.08 	0.96 	0.00 	390	100	60	40	320	20	30	70	190	1 0 0
2.46 	0.19 	13.81 	69.42 	6.03 	5.60 	0.04 	1.46 	0.00 	920	22410	120	70	390	40	40	60	590	1 0 0
1.40 	0.02 	13.35 	72.95 	6.28 	3.75 	0.12 	1.14 	0.00 	860	1040	40	10	440	60	40	50	330	1 0 0
2.02 	0.25 	24.42 	66.34 	3.67 	0.72 	0.04 	1.54 	0.00 	780	50	60	260	300	30	20	50	270	1 0 0
2.50 	0.33 	14.66 	70.22 	3.49 	6.27 	0.05 	1.47 	0.47 	8030	40	60	380	260	130	30	50	1000	1 0 0
2.05 	0.36 	13.99 	71.19 	3.46 	6.76 	0.07 	1.12 	0.00 	750	50	50	90	270	170	30	70	920	1 0 0
3.27 	0.23 	24.55 	66.85 	2.52 	0.95 	0.06 	0.57 	0.00 	510	60	50	40	300	60	30	90	110	1 0 0
3.63 	0.80 	12.82 	74.57 	2.64 	3.43 	0.03 	1.07 	0.22 	8080	90	160	410	220	130	30	70	590	1 0 0
3.82 	0.84 	13.12 	72.98 	2.58 	4.61 	0.07 	0.99 	0.00 	660	100	70	60	270	170	30	70	670	1 0 0
2.37 	0.29 	28.08 	62.05 	3.76 	0.73 	0.12 	1.60 	0.00 	780	100	270	10	320	60	40	100	250	1 0 0
1.78 	0.98 	14.96 	69.46 	2.12 	7.01 	0.11 	2.59 	2.89 	13780	70	190	70	140	30	20	70	410	1 0 0
2.26 	1.59 	12.67 	69.59 	1.81 	9.97 	0.04 	1.07 	0.00 	450	30	220	30	180	60	30	80	510	1 0 0
1.85 	0.33 	24.37 	67.60 	2.93 	0.71 	0.04 	1.18 	0.00 	340	10	50	0	310	50	30	50	90	1 0 0
2.07 	0.50 	14.54 	72.91 	3.64 	4.23 	0.04 	1.07 	0.00 	570	50	50	30	310	100	30	110	400	1 0 0
