id,name,lastUpdateTime,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe
8101,法属圭亚那,2020-03-27 20:27:46,12.0,0.0,0.0,0.0,0.0,,23,0,0,1,0
8102,多哥共和国,2020-03-27 20:24:57,1.0,0.0,0.0,0.0,0.0,,24,0,1,0,0
8100,哥斯达黎加,2020-03-27 04:26:10,30.0,0.0,2.0,0.0,0.0,,231,0,2,2,0
8105,文莱,2020-03-27 18:09:05,1.0,0.0,6.0,0.0,0.0,,115,0,11,0,0
8103,法罗群岛,2020-03-15 17:52:09,,0.0,,,0.0,,3,0,0,0,0
8104,马提尼克岛,2020-03-27 20:30:13,51.0,0.0,0.0,1.0,0.0,,57,0,0,1,0
95120,荷兰,2020-03-27 16:07:42,38.0,0.0,0.0,1.0,0.0,,7469,0,6,435,0
951234567,巴西,2020-03-27 16:17:15,70.0,0.0,6.0,0.0,0.0,,2985,0,6,77,0
8115,洪都拉斯,2020-03-27 09:57:25,16.0,0.0,0.0,1.0,0.0,,68,0,0,1,0
95394,乌拉圭,2020-03-27 10:02:59,21.0,0.0,0.0,0.0,0.0,,238,0,6,0,0
95390,秘鲁,2020-03-27 06:53:12,100.0,0.0,14.0,4.0,0.0,,580,0,14,9,0
956666,智利,2020-03-27 06:54:16,164.0,0.0,5.0,1.0,0.0,,1306,0,22,3,0
95389,格陵兰,2020-03-19 20:28:24,,0.0,,,0.0,,1,0,0,0,0
95382,圣巴托洛谬岛,2020-03-07 00:00:31,,0.0,,,0.0,,1,0,0,0,0
950101010,马尔代夫,2020-03-16 00:00:31,,0.0,,,0.0,,13,0,0,0,0
95384,委内瑞拉,2020-03-27 07:40:35,1.0,0.0,15.0,1.0,0.0,,107,0,15,1,0
8134,毛里塔尼亚,2020-03-27 00:00:31,,,,,,,3,0,0,0,0
8135,纳米比亚,2020-03-27 04:25:29,1.0,0.0,0.0,0.0,0.0,,8,0,0,0,0
8132,法属留尼汪岛,2020-03-27 20:34:39,,0.0,,,0.0,,28,0,0,0,0
8133,波多黎各,2020-03-27 20:27:13,8.0,0.0,0.0,2.0,0.0,,31,0,0,2,0
95732,加纳,2020-03-27 19:15:12,4.0,0.0,1.0,0.0,0.0,,136,0,1,4,0
8136,赤道几内亚,2020-03-27 02:57:35,1.0,0.0,0.0,0.0,0.0,,12,0,0,0,0
8130,几内亚,2020-03-24 15:01:58,,0.0,,,0.0,,4,0,0,0,0
8131,卢旺达,2020-03-27 04:28:40,9.0,0.0,0.0,0.0,0.0,,50,0,0,0,0
80001,格林纳达,2020-03-27 20:16:05,6.0,0.0,0.0,0.0,0.0,,7,0,0,0,0
8129,斯威士兰,2020-03-27 03:39:55,3.0,0.0,0.0,0.0,0.0,,8,0,0,0,0
8145,坦桑尼亚,2020-03-26 10:11:33,,0.0,,,0.0,,13,0,1,0,0
8146,贝宁,2020-03-27 00:00:31,,,,,,,6,0,0,0,0
8143,刚果（金）,2020-03-27 16:38:36,3.0,0.0,0.0,1.0,0.0,,54,0,2,5,0
8144,中非共和国,2020-03-24 13:49:52,,0.0,,,0.0,,4,0,0,0,0
8147,利比里亚,2020-03-23 19:33:46,,0.0,,,0.0,,3,0,0,0,0
8148,索马里,2020-03-27 19:38:18,1.0,0.0,0.0,0.0,0.0,,3,0,0,0,0
95XXXX,乍得,2020-03-25 06:34:57,,,,,,,3,0,0,0,0
8152,赞比亚,2020-03-27 20:48:58,6.0,0.0,0.0,0.0,0.0,,22,0,0,0,0
8151,巴巴多斯,2020-03-27 20:24:06,6.0,0.0,0.0,0.0,0.0,,24,0,0,0,0
95mali,马里,2020-03-27 16:41:58,2.0,0.0,0.0,0.0,0.0,,4,0,0,0,0
958888,阿根廷,2020-03-27 19:55:00,87.0,0.0,72.0,4.0,0.0,,589,0,72,12,0
81113,法属波利尼西亚,2020-03-27 09:17:01,24.0,0.0,0.0,0.0,0.0,,25,0,0,0,0
9584332,巴林,2020-03-27 18:31:08,9.0,0.0,23.0,0.0,0.0,,466,0,227,4,0
8168,莫桑比克,2020-03-27 00:47:21,2.0,0.0,0.0,0.0,0.0,,7,0,0,0,0
95747,喀麦隆,2020-03-27 18:07:52,13.0,0.0,0.0,1.0,0.0,,88,0,3,2,0
8165,乌干达,2020-03-27 16:43:30,4.0,0.0,0.0,0.0,0.0,,18,0,0,0,0
8166,厄立特里亚,2020-03-27 03:38:28,2.0,0.0,0.0,0.0,0.0,,6,0,0,0,0
95983,刚果（布）,2020-03-24 13:49:36,,,,,,,4,0,0,0,0
8162,津巴布韦,2020-03-27 08:10:50,2.0,0.0,0.0,0.0,0.0,,5,0,0,1,0
956475,丹麦,2020-03-27 16:19:38,149.0,0.0,0.0,0.0,0.0,,2026,0,50,41,0
81344,阿鲁巴,2020-03-27 09:24:27,19.0,0.0,0.0,0.0,0.0,,19,0,0,0,0
95776,斐济,2020-03-27 00:00:31,,,,,,,5,0,0,0,0
8172,伯利兹,2020-03-27 00:00:31,,,,,,,2,0,0,0,0
8173,缅甸,2020-03-27 09:55:12,2.0,0.0,0.0,0.0,0.0,,5,0,0,0,0
9568067,塞浦路斯,2020-03-27 20:50:46,14.0,0.0,1.0,0.0,0.0,,146,0,4,3,0
81134,关岛,2020-03-27 08:38:06,37.0,0.0,0.0,1.0,0.0,,37,0,0,1,0
888779,科索沃,2020-03-27 08:37:09,0.0,0.0,0.0,0.0,0.0,,71,0,0,1,0
95251456,吉尔吉斯斯坦,2020-03-27 20:31:13,14.0,0.0,0.0,0.0,0.0,,58,0,0,0,0
95309,尼日尔,2020-03-27 20:17:49,2.0,0.0,0.0,0.0,0.0,,10,0,0,1,0
95305,苏里南,2020-03-27 00:00:31,,,,,,,8,0,0,0,0
95306,佛得角,2020-03-27 20:14:31,1.0,0.0,0.0,0.0,0.0,,5,0,0,1,0
95786,萨尔瓦多,2020-03-27 20:18:49,12.0,0.0,0.0,0.0,0.0,,13,0,0,0,0
95303,圭亚那,2020-03-20 06:07:07,,0.0,,,0.0,,5,0,0,1,0
95787,尼加拉瓜,2020-03-22 13:34:11,,0.0,,,0.0,,2,0,0,0,0
95783,冈比亚,2020-03-25 05:17:16,,0.0,,,0.0,,3,0,0,1,0
9523416782,东帝汶,2020-03-22 00:00:31,,0.0,,,0.0,,1,0,0,0,0
950777,巴基斯坦,2020-03-27 16:28:04,56.0,0.0,2.0,0.0,0.0,,1235,0,23,9,0
9577890,埃及,2020-03-27 05:09:08,39.0,0.0,7.0,3.0,0.0,,495,0,102,24,0
9577665,科威特,2020-03-27 18:06:48,17.0,0.0,8.0,0.0,0.0,,225,0,57,0,0
95903,斯洛伐克,2020-03-27 03:39:03,10.0,0.0,0.0,0.0,0.0,,226,0,7,0,0
95904,直布罗陀,2020-03-27 00:00:31,,,,,,,3,0,0,0,0
959333,摩纳哥,2020-03-27 13:14:28,2.0,0.0,0.0,0.0,0.0,,33,0,1,0,0
9509765,巴拉圭,2020-03-27 20:29:28,11.0,0.0,1.0,0.0,0.0,,52,0,1,3,0
856671,荷属安的列斯,2020-03-27 11:18:47,3.0,0.0,0.0,0.0,0.0,,3,0,0,0,0
95711,多米尼克,2020-03-27 00:00:31,,,,,,,11,0,0,0,0
95703,乌兹别克斯坦,2020-03-27 14:01:38,18.0,0.0,0.0,0.0,0.0,,83,0,5,0,0
95293,黑山,2020-03-27 20:33:38,17.0,0.0,0.0,1.0,0.0,,70,0,0,1,0
95294,危地马拉,2020-03-27 20:25:40,1.0,0.0,0.0,0.0,0.0,,25,0,4,1,0
95290,加蓬,2020-03-27 04:28:08,1.0,0.0,0.0,0.0,0.0,,7,0,0,1,0
95291,苏丹,2020-03-25 00:00:31,,0.0,,,0.0,,3,0,0,1,0
87435,利比亚,2020-03-27 00:00:31,,,,,,,3,0,0,0,0
95287,圣马丁岛,2020-03-07 00:00:31,,0.0,,,0.0,,2,0,0,0,0
95046,土耳其,2020-03-27 04:26:57,1196.0,0.0,0.0,16.0,0.0,,3629,0,26,75,0
95047,巴布亚新几内亚,2020-03-23 19:41:46,,0.0,,,0.0,,1,0,0,0,0
95000011,多米尼加,2020-03-27 20:10:22,96.0,0.0,0.0,0.0,0.0,,488,0,3,10,0
95076,约旦,2020-03-27 02:54:08,40.0,0.0,0.0,0.0,0.0,,212,0,1,0,0
9532556,亚美尼亚,2020-03-27 16:40:44,39.0,0.0,0.0,1.0,0.0,,329,0,18,1,0
811192,圣基茨和尼维斯,2020-03-27 11:31:52,2.0,0.0,0.0,0.0,0.0,,2,0,0,0,0
89665,瓜德罗普,2020-03-27 08:32:21,22.0,0.0,0.0,1.0,0.0,,73,0,0,1,0
94367,安提瓜和巴布达,2020-03-27 20:16:40,4.0,0.0,0.0,0.0,0.0,,7,0,0,0,0
95215,玻利维亚,2020-03-27 20:31:37,23.0,0.0,0.0,0.0,0.0,,61,0,0,0,0
95693,哥伦比亚,2020-03-27 04:29:14,21.0,0.0,2.0,3.0,0.0,,491,0,8,6,0
879903,圣文森特和格林纳丁斯,2020-03-27 11:40:20,1.0,0.0,0.0,0.0,0.0,,1,0,0,0,0
84326,圣卢西亚,2020-03-27 11:22:10,3.0,0.0,0.0,0.0,0.0,,3,0,0,0,0
10,法国,2020-03-27 19:59:52,426.0,0.0,7.0,2.0,0.0,,29581,0,4955,1698,0
11,阿联酋,2020-03-27 20:31:33,0.0,,0.0,0.0,,,333,0,52,2,0
12,加拿大,2020-03-27 16:11:48,637.0,0.0,198.0,4.0,0.0,,4046,0,202,40,0
13,印度,2020-03-27 19:51:28,81.0,0.0,27.0,4.0,0.0,,775,0,71,20,0
14,英国,2020-03-27 20:00:54,158.0,0.0,15.0,2.0,0.0,,11816,0,150,580,0
15,意大利,2020-03-27 19:57:58,50.0,,0.0,50.0,,,80589,0,10361,8215,0
16,俄罗斯,2020-03-27 16:39:25,196.0,0.0,7.0,1.0,0.0,,1036,0,45,3,0
17,菲律宾,2020-03-27 16:56:35,96.0,0.0,5.0,9.0,0.0,,803,0,31,54,0
18,芬兰,2020-03-27 19:47:23,155.0,0.0,9.0,0.0,0.0,,1035,0,10,5,0
19,尼泊尔,2020-03-27 00:00:31,,,,,,,3,0,1,0,0
95682,葡萄牙,2020-03-27 16:13:17,549.0,0.0,21.0,17.0,0.0,,3544,0,43,60,0
954356,塞舌尔,2020-03-23 11:03:58,,0.0,,,0.0,,7,0,0,0,0
20,西班牙,2020-03-27 18:45:50,7862.0,0.0,0.0,713.0,0.0,,64059,0,7015,4858,0
21,斯里兰卡,2020-03-27 00:52:28,4.0,0.0,4.0,0.0,0.0,,106,0,7,0,0
9509,阿尔及利亚,2020-03-27 02:52:41,65.0,0.0,0.0,4.0,0.0,,367,0,32,25,0
22,柬埔寨,2020-03-27 00:00:31,,,,,,,96,0,10,0,0
95239,海地,2020-03-27 00:00:31,,,,,,,8,0,0,0,0
23,瑞典,2020-03-27 16:18:06,34.0,0.0,0.0,11.0,0.0,,2840,0,16,77,0
95237,特立尼达和多巴哥,2020-03-27 20:32:29,5.0,0.0,1.0,0.0,0.0,,65,0,1,1,0
95jibuti,吉布提,2020-03-26 00:00:31,,0.0,,,0.0,,11,0,0,0,0
953487,布基纳法索,2020-03-27 06:52:27,6.0,0.0,5.0,3.0,0.0,,152,0,10,7,0
954332,比利时,2020-03-27 18:15:23,1049.0,0.0,0.0,69.0,0.0,,7284,0,675,289,0
9534324,伊拉克,2020-03-27 00:00:31,,,,,,,382,0,107,36,0
95010,冰岛,2020-03-27 16:52:12,63.0,0.0,82.0,0.0,0.0,,802,0,82,2,0
95jnybs,几内亚比绍,2020-03-26 00:00:31,,0.0,,,0.0,,2,0,0,0,0
