sex,age,cql,vitalCapacity,zxqdcs,a,zghqls,wzqdcsA,wzqdcsB,wzqdcsC,wzqdcsd,BMI,label
1,4,1.3202854640000001,1.055900621,0.996389892,0.811764706,0.869300912,0.742346939,0.9722222220000001,0.20673076899999998,0.08064516099999999,18.73278236914601,0
10,7,1.6045124,1.230496454,1.347619048,0.81556196,1.0091185409999999,1.183856502,1.098662207,0.05800464,0.155279503,21.484375,0
10,4,1.4576121519999998,0.969047619,0.9680232559999999,0.818181818,0.881871345,0.7325,0.81671159,0.21483376,0.174698795,20.65754000210077,0
10,2,1.5958504080000002,1.100436681,1.133676093,0.875,0.90021692,1.008492569,1.055979644,0.315217391,0.220588235,20.19557823129252,0
1,5,1.165851086,0.947169811,0.982222222,0.8804780879999999,0.780612245,0.789173789,0.862781955,0.511415525,0.231707317,25.390218522372518,0
1,3,1.42451329,1.056379822,1.1202749140000001,0.9157303370000001,1.1762962959999999,1.3091334890000002,1.3412162159999999,0.67027027,0.235294118,30.110278896458286,0
1,3,1.415907964,1.11884058,1.1866666670000001,0.922279793,1.048245614,1.098434004,1.1910299,0.387096774,0.24,18.289894833104707,0
1,3,1.137979182,0.944281525,0.8310810809999999,0.763975155,0.994108984,0.426966292,0.879598662,0.328605201,0.243781095,19.28937926777516,0
1,6,1.188836539,0.811447811,0.824701195,0.858921162,0.8079365079999999,0.7095808379999999,0.6934306570000001,0.28442029,0.244186047,20.904195011337873,0
10,3,1.46946574,0.9870689659999999,0.864935065,0.727074236,0.803063457,0.570135747,0.66454892,0.22467771600000008,0.24505928899999999,21.04981790236894,0
1,2,1.4255077459999999,1.29512894,1.04950495,0.703539823,0.859011628,0.47379912700000004,0.884488449,0.398286938,0.25388601,23.147255121330193,0
1,5,1.235035611,0.93728223,1.0,0.907063197,0.922077922,0.8698060940000001,1.03649635,0.708333333,0.254098361,23.046875,0
10,5,1.43532939,0.76056338,0.872781065,0.910493827,0.9976303320000001,1.126373626,1.111709287,0.33962264200000003,0.26056338,24.16326530612245,0
10,3,1.7079071680000002,1.07755102,1.071960298,0.818181818,0.959574468,0.908482143,1.064039409,0.45597484299999996,0.272727273,24.30248705971468,0
10,8,1.584272376,1.074193548,1.2177777779999999,0.822822823,1.303387334,1.3023255809999998,1.276972625,0.325221239,0.276836158,24.023808670084986,0
1,3,1.187310947,0.8119658120000001,0.891447368,0.950877193,0.9522431259999999,0.754545455,0.933774834,0.468899522,0.28042328,17.99816345270891,0
1,4,1.383199984,0.9486404829999999,1.031578947,0.936305733,1.029850746,1.088383838,1.176672384,0.411444142,0.28571428600000004,27.25088744666356,0
1,5,1.249181441,1.017123288,0.9677419359999999,0.8080808079999999,0.980676329,0.625344353,1.085299456,0.43575419,0.28800000000000003,21.218317194552675,0
10,6,1.4951340730000002,0.8630490959999999,1.0098360659999999,0.9221556890000001,0.925972397,1.284023669,0.9815340909999999,0.397094431,0.293478261,28.37370242214533,0
1,2,1.3583244540000001,1.134730539,1.195876289,0.918205805,0.935724963,0.90021692,1.0418760470000001,0.39468690700000003,0.295546559,20.956607495069033,0
10,2,1.602235876,0.907480315,1.044705882,0.9631236440000001,1.191161357,1.245867769,1.384615385,0.580645161,0.297777778,19.4707778735357,0
1,5,1.185339439,0.9010989009999999,0.9,0.841463415,0.98,0.647239264,1.069548872,0.508090615,0.303030303,22.10028959000152,0
1,5,1.3680996280000002,0.967105263,1.007722008,0.8877551020000001,1.031298905,0.896253602,1.1654676259999999,0.701086957,0.309352518,23.73866213151928,0
