,0
0,-0.8403118205163426
1,0.20545015351325735
2,-0.3134165797655756
3,0.28761796020322916
4,-0.477336033503295
5,-0.150304530570046
6,-0.2941538481162145
7,0.7693395545881854
8,0.33942053733529254
9,0.43223695255032046
10,0.7202057755054765
11,0.12602362412284696
12,0.4960971324472765
13,-0.6284090169790094
14,0.4483343794445509
15,0.7459235711670986
16,-0.661075045498462
17,-0.6222377306889811
18,0.7963469563826011
19,-0.9341800789290691
20,0.7021118909749953
21,0.23178825473154352
22,0.8035716355911384
23,0.7283421077830228
24,0.736135117296431
25,0.12266049154581093
26,-0.2533889786418968
27,-0.5983851432319028
28,0.7818702990374058
29,-0.9531946764348351
30,0.3082107695403924
31,-0.4248623676557054
32,0.9984595775145166
33,0.9698661556800054
34,-0.05518862769569832
35,-0.7523927614805925
36,0.48379014384121133
37,0.8405724716357132
38,-0.47133408401412025
39,0.12708512327328703
40,-0.2551743166200613
41,0.9676144113425735
42,-0.1708650341887782
43,-0.20160326962480757
44,-0.03220102286937898
45,-0.006563395457368948
46,0.6291665324320357
47,0.6156219725496164
48,-0.8746117912117181
49,0.6043757678382327
50,0.35564843880082475
51,-0.4084216179973369
52,0.3196278011687934
53,0.7807457977755605
54,-0.6549115674171319
55,-0.5501080617340821
56,0.17977950512705765
57,-0.003649145473514359
58,0.3804691845318433
59,0.4892572012322307
60,0.45548252628691577
61,-0.041814179474537916
62,-0.5706327429602367
63,0.8789945208726682
64,0.009721905282792598
65,0.8192914670494635
66,-0.43917505261823697
67,-0.5162495826557154
68,-0.9862847920145033
69,0.3344949881581958
70,-0.8004836380625855
71,0.656724621555943
72,-0.012600750106595449
73,0.6718860170807248
74,0.14906785336339046
75,-0.4207445806486779
76,-0.5224784470343127
77,0.17574683355530607
78,0.9687200775361084
79,0.5612549054996641
80,-0.8844986523538426
81,0.7451872153635983
82,0.7947332201818591
83,0.6438014401138259
84,0.9517951593338001
85,0.7726619771916263
86,-0.1290582158880894
87,-0.2278461822225506
88,0.8236865348722497
89,0.1596035110832308
90,-0.2834179187839603
91,0.2685867926057217
92,0.179013943046747
93,0.18963739841095806
94,0.5912505862489517
95,-0.0076123776320331515
96,0.6970085411372346
97,0.5715501180753146
98,0.10107454958780249
99,-0.3445363445441826
100,0.722401729893736
101,0.6665542026327314
102,0.9662325372169178
103,0.2894877579655575
104,-0.5378564458446635
105,-0.6482351317475775
106,0.8378224324531087
107,-0.10579195933914065
108,-0.5608832705284139
109,-0.2770706199726647
110,-0.23192188834911254
111,0.5161217902935085
112,0.7502922341314624
113,0.32552723066589917
114,-0.6677929660020163
115,-0.5842620606500524
116,0.7251029528708146
117,0.5808744305632838
118,0.3763088398071779
119,-0.31544254170186947
120,-0.11464110358479929
121,-0.3750306777665221
122,0.6881897952613174
123,0.45099209102964677
124,-0.36663339634637226
125,-0.06063607515800218
126,-0.2612030285955378
127,-0.5673500766560458
128,-0.07946589825945793
129,0.541160987054139
